TIMESTAMP,G_OPEN_PRICE_USD,G_HIGH_PRICE_USD,G_LOW_PRICE_USD,G_CLOSE_PRICE_USD,G_VOLUME_USD,G_DIVIDENDS_USD,G_STOCK_SPLITS_USD
2024-10-15 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,28,0.0,0.0
2024-10-16 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,37,0.0,0.0
2024-10-17 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.700000029813964e-05,237,0.0,0.0
2024-10-18 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,24,0.0,0.0
2024-10-19 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,8,0.0,0.0
2024-10-20 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,49,0.0,0.0
2024-10-21 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,38,0.0,0.0
2024-10-22 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,10,0.0,0.0
2024-10-23 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,17,0.0,0.0
2024-10-24 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,12,0.0,0.0
2024-10-25 00:00:00+00:00,1.5999999959603883e-05,6.800000119255856e-05,1.5999999959603883e-05,5.0999999075429514e-05,1088,0.0,0.0
2024-10-26 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,2.9999999242136255e-05,3.199999991920777e-05,288,0.0,0.0
2024-10-27 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,24,0.0,0.0
2024-10-28 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,27,0.0,0.0
2024-10-29 00:00:00+00:00,3.300000025774352e-05,3.9999998989515007e-05,3.300000025774352e-05,3.899999865097925e-05,102,0.0,0.0
2024-10-30 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,55,0.0,0.0
2024-10-31 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7999998312443495e-05,34,0.0,0.0
2024-11-01 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,2.8000000384054147e-05,3.7999998312443495e-05,296,0.0,0.0
2024-11-02 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7000001611886546e-05,3,0.0,0.0
2024-11-03 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.600000127335079e-05,4.199999966658652e-05,63,0.0,0.0
2024-11-04 00:00:00+00:00,4.199999966658652e-05,4.8999998398358e-05,4.199999966658652e-05,4.8999998398358e-05,77,0.0,0.0
2024-11-05 00:00:00+00:00,4.8999998398358e-05,4.8999998398358e-05,4.8000001697801054e-05,4.8999998398358e-05,14,0.0,0.0
2024-11-06 00:00:00+00:00,4.8999998398358e-05,5.400000009103678e-05,4.70000013592653e-05,4.70000013592653e-05,141,0.0,0.0
2024-11-07 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.600000102072954e-05,53,0.0,0.0
2024-11-08 00:00:00+00:00,4.600000102072954e-05,4.8000001697801054e-05,4.5000000682193786e-05,4.70000013592653e-05,36,0.0,0.0
2024-11-09 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,4,0.0,0.0
2024-11-10 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.70000013592653e-05,4.70000013592653e-05,18,0.0,0.0
2024-11-11 00:00:00+00:00,4.70000013592653e-05,5.400000009103678e-05,4.70000013592653e-05,5.2999999752501026e-05,119,0.0,0.0
2024-11-12 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,35,0.0,0.0
2024-11-13 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.0999999075429514e-05,5.0999999075429514e-05,28,0.0,0.0
2024-11-14 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.70000013592653e-05,4.70000013592653e-05,100,0.0,0.0
2024-11-15 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.600000102072954e-05,4.70000013592653e-05,38,0.0,0.0
2024-11-16 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,4.70000013592653e-05,5.0999999075429514e-05,109,0.0,0.0
2024-11-17 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,63,0.0,0.0
2024-11-18 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,5.0999999075429514e-05,49,0.0,0.0
2024-11-19 00:00:00+00:00,5.0999999075429514e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,51,0.0,0.0
2024-11-20 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,5.0999999075429514e-05,5.2999999752501026e-05,225,0.0,0.0
2024-11-21 00:00:00+00:00,5.2999999752501026e-05,5.500000042957254e-05,5.2999999752501026e-05,5.500000042957254e-05,34,0.0,0.0
2024-11-22 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.400000009103678e-05,5.500000042957254e-05,113,0.0,0.0
2024-11-23 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.400000009103678e-05,5.500000042957254e-05,71,0.0,0.0
2024-11-24 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,5.400000009103678e-05,5.6000000768108293e-05,107,0.0,0.0
2024-11-25 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.500000042957254e-05,5.6000000768108293e-05,58,0.0,0.0
2024-11-26 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.400000009103678e-05,5.500000042957254e-05,66,0.0,0.0
2024-11-27 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.500000042957254e-05,5.500000042957254e-05,50,0.0,0.0
2024-11-28 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.400000009103678e-05,5.400000009103678e-05,24,0.0,0.0
2024-11-29 00:00:00+00:00,5.400000009103678e-05,5.700000110664405e-05,5.2999999752501026e-05,5.6000000768108293e-05,78,0.0,0.0
2024-11-30 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,18,0.0,0.0
2024-12-01 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.500000042957254e-05,5.700000110664405e-05,39,0.0,0.0
2024-12-02 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,5.6000000768108293e-05,5.6000000768108293e-05,126,0.0,0.0
2024-12-03 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.6000000768108293e-05,5.700000110664405e-05,68,0.0,0.0
2024-12-04 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,5.500000042957254e-05,5.8000001445179805e-05,179,0.0,0.0
2024-12-05 00:00:00+00:00,5.8000001445179805e-05,5.999999848427251e-05,5.8000001445179805e-05,5.8000001445179805e-05,43,0.0,0.0
2024-12-06 00:00:00+00:00,5.8000001445179805e-05,5.999999848427251e-05,5.8000001445179805e-05,5.900000178371556e-05,152,0.0,0.0
2024-12-07 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,5.700000110664405e-05,5.700000110664405e-05,23,0.0,0.0
2024-12-08 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,5.700000110664405e-05,5.8000001445179805e-05,165,0.0,0.0
2024-12-09 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,5.500000042957254e-05,5.900000178371556e-05,100,0.0,0.0
2024-12-10 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,5.500000042957254e-05,5.700000110664405e-05,72,0.0,0.0
2024-12-11 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,5.6000000768108293e-05,5.6000000768108293e-05,34,0.0,0.0
2024-12-12 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.400000009103678e-05,5.500000042957254e-05,46,0.0,0.0
2024-12-13 00:00:00+00:00,5.500000042957254e-05,5.700000110664405e-05,5.500000042957254e-05,5.700000110664405e-05,48,0.0,0.0
2024-12-14 00:00:00+00:00,5.700000110664405e-05,5.900000178371556e-05,5.6000000768108293e-05,5.900000178371556e-05,39,0.0,0.0
2024-12-15 00:00:00+00:00,5.900000178371556e-05,5.900000178371556e-05,5.700000110664405e-05,5.8000001445179805e-05,17,0.0,0.0
2024-12-16 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,5.400000009103678e-05,5.700000110664405e-05,34,0.0,0.0
2024-12-17 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,5.6000000768108293e-05,5.6000000768108293e-05,30,0.0,0.0
2024-12-18 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.500000042957254e-05,5.6000000768108293e-05,58,0.0,0.0
2024-12-19 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.500000042957254e-05,5.6000000768108293e-05,55,0.0,0.0
2024-12-20 00:00:00+00:00,5.6000000768108293e-05,5.700000110664405e-05,5.400000009103678e-05,5.500000042957254e-05,45,0.0,0.0
2024-12-21 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.2999999752501026e-05,5.400000009103678e-05,28,0.0,0.0
2024-12-22 00:00:00+00:00,5.400000009103678e-05,5.500000042957254e-05,5.199999941396527e-05,5.2999999752501026e-05,32,0.0,0.0
2024-12-23 00:00:00+00:00,5.2999999752501026e-05,5.500000042957254e-05,5.2999999752501026e-05,5.500000042957254e-05,38,0.0,0.0
2024-12-24 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.400000009103678e-05,5.500000042957254e-05,30,0.0,0.0
2024-12-25 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.2999999752501026e-05,5.400000009103678e-05,32,0.0,0.0
2024-12-26 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,15,0.0,0.0
2024-12-27 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,12,0.0,0.0
2024-12-28 00:00:00+00:00,5.2999999752501026e-05,5.500000042957254e-05,5.2999999752501026e-05,5.500000042957254e-05,26,0.0,0.0
2024-12-29 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.199999941396527e-05,5.2999999752501026e-05,21,0.0,0.0
2024-12-30 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,28,0.0,0.0
2024-12-31 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,13,0.0,0.0
2025-01-01 00:00:00+00:00,5.2999999752501026e-05,5.6000000768108293e-05,5.199999941396527e-05,5.2999999752501026e-05,199,0.0,0.0
2025-01-02 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,47,0.0,0.0
2025-01-03 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.199999941396527e-05,5.400000009103678e-05,23,0.0,0.0
2025-01-04 00:00:00+00:00,5.400000009103678e-05,5.500000042957254e-05,5.199999941396527e-05,5.400000009103678e-05,43,0.0,0.0
2025-01-05 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.2999999752501026e-05,5.400000009103678e-05,21,0.0,0.0
2025-01-06 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.199999941396527e-05,5.199999941396527e-05,59,0.0,0.0
2025-01-07 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,5.199999941396527e-05,5.2999999752501026e-05,31,0.0,0.0
2025-01-08 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,5.199999941396527e-05,5.2999999752501026e-05,23,0.0,0.0
2025-01-09 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.0999999075429514e-05,5.199999941396527e-05,38,0.0,0.0
2025-01-10 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,21,0.0,0.0
2025-01-11 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.999999873689376e-05,5.0999999075429514e-05,141,0.0,0.0
2025-01-12 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,5.0999999075429514e-05,5.199999941396527e-05,64,0.0,0.0
2025-01-13 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,25,0.0,0.0
2025-01-14 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.0999999075429514e-05,5.199999941396527e-05,12,0.0,0.0
2025-01-15 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.999999873689376e-05,4.999999873689376e-05,22,0.0,0.0
2025-01-16 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,4.999999873689376e-05,23,0.0,0.0
2025-01-17 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.999999873689376e-05,4.999999873689376e-05,14,0.0,0.0
2025-01-18 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.8999998398358e-05,29,0.0,0.0
2025-01-19 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.8999998398358e-05,4.999999873689376e-05,32,0.0,0.0
2025-01-20 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,32,0.0,0.0
2025-01-21 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,21,0.0,0.0
2025-01-22 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,22,0.0,0.0
2025-01-23 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,29,0.0,0.0
2025-01-24 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.8999998398358e-05,4.8999998398358e-05,21,0.0,0.0
2025-01-25 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.8999998398358e-05,4.999999873689376e-05,10,0.0,0.0
2025-01-26 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.8999998398358e-05,4.8999998398358e-05,18,0.0,0.0
2025-01-27 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.8999998398358e-05,4.999999873689376e-05,18,0.0,0.0
2025-01-28 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,4.8999998398358e-05,5.199999941396527e-05,32,0.0,0.0
2025-01-29 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,5.199999941396527e-05,5.2999999752501026e-05,22,0.0,0.0
2025-01-30 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,49,0.0,0.0
2025-01-31 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,16,0.0,0.0
2025-02-01 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.0999999075429514e-05,5.0999999075429514e-05,11,0.0,0.0
2025-02-02 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,5.0999999075429514e-05,5.199999941396527e-05,33,0.0,0.0
2025-02-03 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.8999998398358e-05,5.199999941396527e-05,75,0.0,0.0
2025-02-04 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,5.0999999075429514e-05,5.0999999075429514e-05,28,0.0,0.0
2025-02-05 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,5.0999999075429514e-05,5.0999999075429514e-05,28,0.0,0.0
2025-02-06 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.999999873689376e-05,5.0999999075429514e-05,20,0.0,0.0
2025-02-07 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,5.0999999075429514e-05,5.0999999075429514e-05,16,0.0,0.0
2025-02-08 00:00:00+00:00,5.0999999075429514e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.199999941396527e-05,23,0.0,0.0
2025-02-09 00:00:00+00:00,5.199999941396527e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.0999999075429514e-05,33,0.0,0.0
2025-02-10 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.8999998398358e-05,4.8999998398358e-05,27,0.0,0.0
2025-02-11 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.8000001697801054e-05,4.8000001697801054e-05,32,0.0,0.0
2025-02-12 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,4.70000013592653e-05,4.70000013592653e-05,21,0.0,0.0
2025-02-13 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,12,0.0,0.0
2025-02-14 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,16,0.0,0.0
2025-02-15 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,9,0.0,0.0
2025-02-16 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,15,0.0,0.0
2025-02-17 00:00:00+00:00,4.600000102072954e-05,4.8000001697801054e-05,4.600000102072954e-05,4.70000013592653e-05,29,0.0,0.0
2025-02-18 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.600000102072954e-05,4.70000013592653e-05,15,0.0,0.0
2025-02-19 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.600000102072954e-05,4.70000013592653e-05,17,0.0,0.0
2025-02-20 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.600000102072954e-05,4.70000013592653e-05,15,0.0,0.0
2025-02-21 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.600000102072954e-05,4.70000013592653e-05,30,0.0,0.0
2025-02-22 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,9,0.0,0.0
2025-02-23 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,3,0.0,0.0
2025-02-24 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,4.600000102072954e-05,8,0.0,0.0
2025-02-25 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.70000013592653e-05,16,0.0,0.0
2025-02-26 00:00:00+00:00,4.70000013592653e-05,4.8000001697801054e-05,4.70000013592653e-05,4.70000013592653e-05,18,0.0,0.0
2025-02-27 00:00:00+00:00,4.70000013592653e-05,4.8999998398358e-05,4.600000102072954e-05,4.70000013592653e-05,46,0.0,0.0
2025-02-28 00:00:00+00:00,4.70000013592653e-05,4.8999998398358e-05,4.70000013592653e-05,4.8000001697801054e-05,75,0.0,0.0
2025-03-01 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,4.8000001697801054e-05,5.0999999075429514e-05,57,0.0,0.0
2025-03-02 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,5.0999999075429514e-05,5.0999999075429514e-05,15,0.0,0.0
2025-03-03 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.999999873689376e-05,5.0999999075429514e-05,18,0.0,0.0
2025-03-04 00:00:00+00:00,5.0999999075429514e-05,6.0999998822808266e-05,5.0999999075429514e-05,6.0999998822808266e-05,24,0.0,0.0
2025-03-05 00:00:00+00:00,6.0999998822808266e-05,6.0999998822808266e-05,5.900000178371556e-05,5.999999848427251e-05,25,0.0,0.0
2025-03-06 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.8000001445179805e-05,5.8000001445179805e-05,11,0.0,0.0
2025-03-07 00:00:00+00:00,5.8000001445179805e-05,5.900000178371556e-05,5.8000001445179805e-05,5.8000001445179805e-05,8,0.0,0.0
2025-03-08 00:00:00+00:00,5.8000001445179805e-05,5.900000178371556e-05,5.8000001445179805e-05,5.8000001445179805e-05,12,0.0,0.0
2025-03-09 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,5.700000110664405e-05,5.8000001445179805e-05,8,0.0,0.0
2025-03-10 00:00:00+00:00,5.8000001445179805e-05,6.0999998822808266e-05,5.8000001445179805e-05,5.900000178371556e-05,14,0.0,0.0
2025-03-11 00:00:00+00:00,5.900000178371556e-05,5.999999848427251e-05,5.8000001445179805e-05,5.900000178371556e-05,14,0.0,0.0
2025-03-12 00:00:00+00:00,5.900000178371556e-05,6.70000008540228e-05,5.8000001445179805e-05,6.70000008540228e-05,21,0.0,0.0
2025-03-13 00:00:00+00:00,6.70000008540228e-05,6.900000153109431e-05,6.70000008540228e-05,6.800000119255856e-05,17,0.0,0.0
2025-03-14 00:00:00+00:00,6.800000119255856e-05,7.79999973019585e-05,6.399999983841553e-05,7.300000288523734e-05,83,0.0,0.0
2025-03-15 00:00:00+00:00,7.300000288523734e-05,0.00010399999882793054,7.000000186963007e-05,7.000000186963007e-05,1247,0.0,0.0
2025-03-16 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,6.800000119255856e-05,6.900000153109431e-05,17,0.0,0.0
2025-03-17 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.600000051548705e-05,6.600000051548705e-05,27,0.0,0.0
2025-03-18 00:00:00+00:00,6.600000051548705e-05,6.600000051548705e-05,6.299999949987978e-05,6.399999983841553e-05,23,0.0,0.0
2025-03-19 00:00:00+00:00,6.399999983841553e-05,6.800000119255856e-05,6.199999916134402e-05,6.600000051548705e-05,34,0.0,0.0
2025-03-20 00:00:00+00:00,6.600000051548705e-05,7.899999764049426e-05,6.600000051548705e-05,7.200000254670158e-05,33,0.0,0.0
2025-03-21 00:00:00+00:00,7.200000254670158e-05,7.899999764049426e-05,7.000000186963007e-05,7.300000288523734e-05,66,0.0,0.0
2025-03-22 00:00:00+00:00,7.300000288523734e-05,0.00010099999781232327,7.300000288523734e-05,9.300000237999484e-05,112,0.0,0.0
2025-03-23 00:00:00+00:00,9.300000237999484e-05,9.40000027185306e-05,8.199999865610152e-05,8.499999967170879e-05,31,0.0,0.0
2025-03-24 00:00:00+00:00,8.499999967170879e-05,8.70000003487803e-05,7.599999662488699e-05,7.699999696342275e-05,56,0.0,0.0
2025-03-25 00:00:00+00:00,7.699999696342275e-05,7.79999973019585e-05,4.400000034365803e-05,5.999999848427251e-05,433,0.0,0.0
2025-03-26 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,5.900000178371556e-05,5.999999848427251e-05,53,0.0,0.0
2025-03-27 00:00:00+00:00,5.999999848427251e-05,6.199999916134402e-05,5.900000178371556e-05,6.0999998822808266e-05,22,0.0,0.0
2025-03-28 00:00:00+00:00,6.0999998822808266e-05,6.0999998822808266e-05,5.8000001445179805e-05,5.999999848427251e-05,100,0.0,0.0
2025-03-29 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,5.8000001445179805e-05,6.0999998822808266e-05,25,0.0,0.0
2025-03-30 00:00:00+00:00,6.0999998822808266e-05,6.399999983841553e-05,5.900000178371556e-05,5.900000178371556e-05,34,0.0,0.0
2025-03-31 00:00:00+00:00,5.900000178371556e-05,9.699999645818025e-05,5.8000001445179805e-05,9.600000339560211e-05,429,0.0,0.0
2025-04-01 00:00:00+00:00,9.600000339560211e-05,9.7999996796716e-05,8.600000001024455e-05,8.800000068731606e-05,186,0.0,0.0
2025-04-02 00:00:00+00:00,8.800000068731606e-05,0.00011500000255182385,8.499999967170879e-05,8.70000003487803e-05,246,0.0,0.0
2025-04-03 00:00:00+00:00,8.70000003487803e-05,8.900000102585182e-05,8.600000001024455e-05,8.800000068731606e-05,0,0.0,0.0
2025-04-04 00:00:00+00:00,8.800000068731606e-05,9.000000136438757e-05,8.70000003487803e-05,8.800000068731606e-05,8,0.0,0.0
2025-04-05 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.600000001024455e-05,8.800000068731606e-05,0,0.0,0.0
2025-04-06 00:00:00+00:00,8.800000068731606e-05,9.000000136438757e-05,8.399999933317304e-05,8.900000102585182e-05,288,0.0,0.0
2025-04-07 00:00:00+00:00,8.900000102585182e-05,8.900000102585182e-05,8.600000001024455e-05,8.900000102585182e-05,34,0.0,0.0
2025-04-08 00:00:00+00:00,8.900000102585182e-05,9.100000170292333e-05,8.600000001024455e-05,8.800000068731606e-05,103,0.0,0.0
2025-04-09 00:00:00+00:00,8.800000068731606e-05,9.699999645818025e-05,8.70000003487803e-05,8.800000068731606e-05,95,0.0,0.0
2025-04-10 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.600000001024455e-05,8.900000102585182e-05,27,0.0,0.0
2025-04-11 00:00:00+00:00,8.900000102585182e-05,9.000000136438757e-05,7.500000356230885e-05,8.900000102585182e-05,95,0.0,0.0
2025-04-12 00:00:00+00:00,8.900000102585182e-05,9.200000204145908e-05,8.70000003487803e-05,8.800000068731606e-05,193,0.0,0.0
2025-04-13 00:00:00+00:00,8.800000068731606e-05,8.900000102585182e-05,8.70000003487803e-05,8.900000102585182e-05,9,0.0,0.0
2025-04-14 00:00:00+00:00,8.900000102585182e-05,9.000000136438757e-05,8.70000003487803e-05,9.000000136438757e-05,24,0.0,0.0
2025-04-15 00:00:00+00:00,9.000000136438757e-05,9.200000204145908e-05,8.900000102585182e-05,9.100000170292333e-05,28,0.0,0.0
2025-04-16 00:00:00+00:00,9.100000170292333e-05,9.100000170292333e-05,8.900000102585182e-05,8.900000102585182e-05,24,0.0,0.0
2025-04-17 00:00:00+00:00,8.900000102585182e-05,9.200000204145908e-05,8.900000102585182e-05,9.100000170292333e-05,14,0.0,0.0
2025-04-18 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,8.900000102585182e-05,9.100000170292333e-05,95,0.0,0.0
2025-04-19 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,8.900000102585182e-05,9.100000170292333e-05,39,0.0,0.0
2025-04-20 00:00:00+00:00,9.100000170292333e-05,9.200000204145908e-05,9.000000136438757e-05,9.100000170292333e-05,22,0.0,0.0
2025-04-21 00:00:00+00:00,9.100000170292333e-05,9.300000237999484e-05,9.000000136438757e-05,9.200000204145908e-05,16,0.0,0.0
2025-04-22 00:00:00+00:00,9.200000204145908e-05,9.300000237999484e-05,9.200000204145908e-05,9.200000204145908e-05,27,0.0,0.0
2025-04-23 00:00:00+00:00,9.200000204145908e-05,9.40000027185306e-05,9.100000170292333e-05,9.40000027185306e-05,74,0.0,0.0
2025-04-24 00:00:00+00:00,9.40000027185306e-05,9.500000305706635e-05,9.100000170292333e-05,9.40000027185306e-05,64,0.0,0.0
